date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:42	88854/88854	---M-Z	200	added ('OK')	text/html	etag:%2215b16-5dda32e6f3100-gzip%22	https://eres.dexignzone.com/xhtml/index.html	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/index.html	(from )
19:04:44	237/237	---M--	302	error ('Found')	text/html	date:Sun,%2027%20Nov%202022%2013:04:43%20GMT	https://eres.dexignzone.com/robots.txt		(from )
19:04:45	97351/97351	---M--	200	added ('OK')	image/png	etag:%2217c47-5d84a3e107a00%22	https://eres.dexignzone.com/xhtml/social-image.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/social-image.png	(from https://eres.dexignzone.com/xhtml/index.html)
19:04:45	3462/3462	---M--	200	added ('OK')	image/png	etag:%22d86-5b2d241100b00%22	https://eres.dexignzone.com/xhtml/images/favicon.png	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/images/favicon.png	(from https://eres.dexignzone.com/xhtml/index.html)
19:04:46	3506/3506	---M--	200	added ('OK')	text/css	etag:%22db2-56e9b0fd29b00%22	https://eres.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.css	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/owl-carousel/owl.carousel.css	(from https://eres.dexignzone.com/xhtml/index.html)
19:04:47	10722/10722	---M--	200	added ('OK')	text/css	etag:%2229e2-58dde99508380%22	https://eres.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://eres.dexignzone.com/xhtml/index.html)
19:04:49	22357/22357	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d52aa-5755%22	https://cdn.lineicons.com/2.0/LineIcons.css	/home/samimhossain/websites/admin-hospital/cdn.lineicons.com/2.0/LineIcons.css	(from https://eres.dexignzone.com/xhtml/index.html)
19:04:50	8485/8485	---M--	200	added ('OK')	image/jpeg	etag:%222125-5b0741a91a200%22	https://eres.dexignzone.com/xhtml/images/avatar/1.jpg	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/images/avatar/1.jpg	(from https://eres.dexignzone.com/xhtml/index.html)
19:04:51	11430/11430	---M--	200	added ('OK')	image/jpeg	etag:%222ca6-5b0741a91a200%22	https://eres.dexignzone.com/xhtml/images/avatar/2.jpg	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/images/avatar/2.jpg	(from https://eres.dexignzone.com/xhtml/index.html)
19:04:52	10900/10900	---M--	200	added ('OK')	image/jpeg	etag:%222a94-5b0741a91a200%22	https://eres.dexignzone.com/xhtml/images/avatar/3.jpg	/home/samimhossain/websites/admin-hospital/eres.dexignzone.com/xhtml/images/avatar/3.jpg	(from https://eres.dexignzone.com/xhtml/index.html)
